space_index,time_index,time_center_s,location_center_m,speed_kmh,sample_count,filled,t_bottom_left_s,t_bottom_right_s,t_top_right_s,t_top_left_s,x_bottom_m,x_top_m
0,51,1540.375,26.577777777777662,58.04946258503402,35,0,1531.0,1561.0,1549.75,1519.75,1.57777777777766,51.57777777777766
0,52,1570.375,26.577777777777662,54.169796466973885,31,0,1561.0,1591.0,1579.75,1549.75,1.57777777777766,51.57777777777766
0,53,1600.375,26.577777777777662,40.74562103174603,40,0,1591.0,1621.0,1609.75,1579.75,1.57777777777766,51.57777777777766
0,54,1630.375,26.577777777777662,33.577976190476186,56,0,1621.0,1651.0,1639.75,1609.75,1.57777777777766,51.57777777777766
0,55,1660.375,26.577777777777662,35.06325102880659,54,0,1651.0,1681.0,1669.75,1639.75,1.57777777777766,51.57777777777766
0,56,1690.375,26.577777777777662,38.175764715608466,48,0,1681.0,1711.0,1699.75,1669.75,1.57777777777766,51.57777777777766
0,57,1720.375,26.577777777777662,33.61271768707483,70,0,1711.0,1741.0,1729.75,1699.75,1.57777777777766,51.57777777777766
0,58,1750.375,26.577777777777662,31.465188323917133,59,0,1741.0,1771.0,1759.75,1729.75,1.57777777777766,51.57777777777766
0,59,1780.375,26.577777777777662,22.671156204906204,66,0,1771.0,1801.0,1789.75,1759.75,1.57777777777766,51.57777777777766
0,60,1810.375,26.577777777777662,24.380428571428563,70,0,1801.0,1831.0,1819.75,1789.75,1.57777777777766,51.57777777777766
0,61,1840.375,26.577777777777662,23.882264957264947,78,0,1831.0,1861.0,1849.75,1819.75,1.57777777777766,51.57777777777766
0,62,1870.375,26.577777777777662,25.911453301127207,69,0,1861.0,1891.0,1879.75,1849.75,1.57777777777766,51.57777777777766
0,63,1900.375,26.577777777777662,28.52282396565183,61,0,1891.0,1921.0,1909.75,1879.75,1.57777777777766,51.57777777777766
0,64,1930.375,26.577777777777662,24.604968354430373,79,0,1921.0,1951.0,1939.75,1909.75,1.57777777777766,51.57777777777766
0,65,1960.375,26.577777777777662,21.807457837301584,64,0,1951.0,1981.0,1969.75,1939.75,1.57777777777766,51.57777777777766
0,66,1990.375,26.577777777777662,21.33594380094381,74,0,1981.0,2011.0,1999.75,1969.75,1.57777777777766,51.57777777777766
0,67,2020.375,26.577777777777662,27.28956140350877,76,0,2011.0,2041.0,2029.75,1999.75,1.57777777777766,51.57777777777766
0,68,2050.375,26.577777777777662,34.58638888888889,61,0,2041.0,2071.0,2059.75,2029.75,1.57777777777766,51.57777777777766
0,69,2080.375,26.577777777777662,32.19793073593073,55,0,2071.0,2101.0,2089.75,2059.75,1.57777777777766,51.57777777777766
0,70,2110.375,26.577777777777662,29.521613060428855,57,0,2101.0,2131.0,2119.75,2089.75,1.57777777777766,51.57777777777766
0,71,2140.375,26.577777777777662,34.23029797979798,55,0,2131.0,2161.0,2149.75,2119.75,1.57777777777766,51.57777777777766
0,72,2170.375,26.577777777777662,34.70863492063493,60,0,2161.0,2191.0,2179.75,2149.75,1.57777777777766,51.57777777777766
0,73,2200.375,26.577777777777662,35.378826530612265,49,0,2191.0,2221.0,2209.75,2179.75,1.57777777777766,51.57777777777766
0,74,2230.375,26.577777777777662,38.88280303030304,44,0,2221.0,2251.0,2239.75,2209.75,1.57777777777766,51.57777777777766
0,75,2260.375,26.577777777777662,21.834087893864023,67,0,2251.0,2281.0,2269.75,2239.75,1.57777777777766,51.57777777777766
0,76,2290.375,26.577777777777662,14.384894894894893,111,0,2281.0,2311.0,2299.75,2269.75,1.57777777777766,51.57777777777766
0,77,2320.375,26.577777777777662,18.97988304093568,95,0,2311.0,2341.0,2329.75,2299.75,1.57777777777766,51.57777777777766
0,78,2350.375,26.577777777777662,22.895013227513225,84,0,2341.0,2371.0,2359.75,2329.75,1.57777777777766,51.57777777777766
0,79,2380.375,26.577777777777662,27.984146825396834,56,0,2371.0,2401.0,2389.75,2359.75,1.57777777777766,51.57777777777766
0,80,2410.375,26.577777777777662,25.902876609763393,53,0,2401.0,2431.0,2419.75,2389.75,1.57777777777766,51.57777777777766
0,81,2440.375,26.577777777777662,28.505911949685537,53,0,2431.0,2461.0,2449.75,2419.75,1.57777777777766,51.57777777777766
0,82,2470.375,26.577777777777662,32.21632594417077,58,0,2461.0,2491.0,2479.75,2449.75,1.57777777777766,51.57777777777766
0,83,2500.375,26.577777777777662,32.4634660218254,64,0,2491.0,2521.0,2509.75,2479.75,1.57777777777766,51.57777777777766
0,84,2530.375,26.577777777777662,36.695156300615494,49,0,2521.0,2551.0,2539.75,2509.75,1.57777777777766,51.57777777777766
0,85,2560.375,26.577777777777662,40.921712809154656,43,0,2551.0,2581.0,2569.75,2539.75,1.57777777777766,51.57777777777766
0,86,2590.375,26.577777777777662,38.15939775910365,51,0,2581.0,2611.0,2599.75,2569.75,1.57777777777766,51.57777777777766
0,87,2620.375,26.577777777777662,40.1192673992674,52,0,2611.0,2641.0,2629.75,2599.75,1.57777777777766,51.57777777777766
0,88,2650.375,26.577777777777662,42.25208646616541,38,0,2641.0,2671.0,2659.75,2629.75,1.57777777777766,51.57777777777766
0,89,2680.375,26.577777777777662,38.72981456043955,52,0,2671.0,2701.0,2689.75,2659.75,1.57777777777766,51.57777777777766
0,90,2710.375,26.577777777777662,30.361981481481475,75,0,2701.0,2731.0,2719.75,2689.75,1.57777777777766,51.57777777777766
0,91,2740.375,26.577777777777662,12.73927631578947,114,0,2731.0,2761.0,2749.75,2719.75,1.57777777777766,51.57777777777766
0,92,2770.375,26.577777777777662,21.28040277777778,80,0,2761.0,2791.0,2779.75,2749.75,1.57777777777766,51.57777777777766
0,93,2800.375,26.577777777777662,33.523240418118455,41,0,2791.0,2821.0,2809.75,2779.75,1.57777777777766,51.57777777777766
0,94,2830.375,26.577777777777662,36.77225225225224,37,0,2821.0,2851.0,2839.75,2809.75,1.57777777777766,51.57777777777766
0,95,2860.375,26.577777777777662,42.347403926482876,38,0,2851.0,2881.0,2869.75,2839.75,1.57777777777766,51.57777777777766
0,96,2890.375,26.577777777777662,45.5456986215539,38,0,2881.0,2911.0,2899.75,2869.75,1.57777777777766,51.57777777777766
0,97,2920.375,26.577777777777662,42.48010705057217,43,0,2911.0,2941.0,2929.75,2899.75,1.57777777777766,51.57777777777766
0,98,2950.375,26.577777777777662,35.331691849816835,52,0,2941.0,2971.0,2959.75,2929.75,1.57777777777766,51.57777777777766
0,99,2980.375,26.577777777777662,23.962642276422766,82,0,2971.0,3001.0,2989.75,2959.75,1.57777777777766,51.57777777777766
0,100,3010.375,26.577777777777662,25.38462709284628,73,0,3001.0,3031.0,3019.75,2989.75,1.57777777777766,51.57777777777766
0,101,3040.375,26.577777777777662,25.011835748792272,69,0,3031.0,3061.0,3049.75,3019.75,1.57777777777766,51.57777777777766
0,102,3070.375,26.577777777777662,26.70665725047081,59,0,3061.0,3091.0,3079.75,3049.75,1.57777777777766,51.57777777777766
0,103,3100.375,26.577777777777662,30.466832325522798,63,0,3091.0,3121.0,3109.75,3079.75,1.57777777777766,51.57777777777766
0,104,3130.375,26.577777777777662,40.7379218106996,54,0,3121.0,3151.0,3139.75,3109.75,1.57777777777766,51.57777777777766
0,105,3160.375,26.577777777777662,43.66677154195012,42,0,3151.0,3181.0,3169.75,3139.75,1.57777777777766,51.57777777777766
0,106,3190.375,26.577777777777662,31.400156565656573,55,0,3181.0,3211.0,3199.75,3169.75,1.57777777777766,51.57777777777766
0,107,3220.375,26.577777777777662,18.20902329749104,93,0,3211.0,3241.0,3229.75,3199.75,1.57777777777766,51.57777777777766
0,108,3250.375,26.577777777777662,33.23005102040817,56,0,3241.0,3271.0,3259.75,3229.75,1.57777777777766,51.57777777777766
0,109,3280.375,26.577777777777662,40.978902831402834,37,0,3271.0,3301.0,3289.75,3259.75,1.57777777777766,51.57777777777766
0,110,3310.375,26.577777777777662,46.21544444444444,40,0,3301.0,3331.0,3319.75,3289.75,1.57777777777766,51.57777777777766
0,111,3340.375,26.577777777777662,43.31909611992944,36,0,3331.0,3361.0,3349.75,3319.75,1.57777777777766,51.57777777777766
0,112,3370.375,26.577777777777662,42.72798786181139,51,0,3361.0,3391.0,3379.75,3349.75,1.57777777777766,51.57777777777766
0,113,3400.375,26.577777777777662,27.43120634920635,55,0,3391.0,3421.0,3409.75,3379.75,1.57777777777766,51.57777777777766
0,114,3430.375,26.577777777777662,22.61952731092437,68,0,3421.0,3451.0,3439.75,3409.75,1.57777777777766,51.57777777777766
0,115,3460.375,26.577777777777662,24.176645502645496,75,0,3451.0,3481.0,3469.75,3439.75,1.57777777777766,51.57777777777766
0,116,3490.375,26.577777777777662,30.51418926366842,72,0,3481.0,3511.0,3499.75,3469.75,1.57777777777766,51.57777777777766
0,117,3520.375,26.577777777777662,33.78047763347763,55,0,3511.0,3541.0,3529.75,3499.75,1.57777777777766,51.57777777777766
0,118,3550.375,26.577777777777662,31.057557043650807,64,0,3541.0,3571.0,3559.75,3529.75,1.57777777777766,51.57777777777766
